29/09/2020 09:00,Isle of Wight,Ronnie True, Hot Chocolate - 1.40,1.40,CARD,5122313982933672
29/09/2020 09:00,Isle of Wight,David Brathwaite," Cortado - 2.05,  Red Label tea - 1.20, Large Cappuccino - 2.45,  Iced americano - 2.15,  Iced americano - 2.15",10.00,CASH,
29/09/2020 09:01,Isle of Wight,Lester Levine, Mocha - 2.30,2.30,CARD,42295471827446210
29/09/2020 09:01,Isle of Wight,Oliver Hicks," Frappes - Chocolate Cookie - 2.75, Large Flavoured hot chocolate - Vanilla - 2.90",5.65,CASH,
29/09/2020 09:02,Isle of Wight,April Allison," Speciality Tea - Peppermint - 1.30, Regular Filter coffee - 1.50, Large Flavoured hot chocolate - Vanilla - 2.90",5.70,CASH,
29/09/2020 09:02,Isle of Wight,Paul Krans," Frappes - Strawberries & Cream - 2.75, Large Cappuccino - 2.45",5.20,CASH,
29/09/2020 09:03,Isle of Wight,Elisabeth Miller," Flavoured iced latte - Hazelnut - 2.75,  Mocha - 2.30, Regular Flavoured hot chocolate - Vanilla - 2.60",7.65,CASH,
29/09/2020 09:03,Isle of Wight,Wayne Dufrene," Iced latte - 2.35,  Glass of milk - 0.70,  Cortado - 2.05",5.10,CARD,4248612655394373
29/09/2020 09:04,Isle of Wight,Robert Wolfe," Speciality Tea - English breakfast - 1.30, Large Cappuccino - 2.45,  Flavoured iced latte - Hazelnut - 2.75, Large Americano - 2.25,  Frappes - Strawberries & Cream - 2.75",11.50,CARD,4517121246482923
29/09/2020 09:04,Isle of Wight,Thelma Speroni,"Regular Flavoured hot chocolate - Caramel - 2.60, Regular Flavoured latte - Hazelnut - 2.55,  Flavoured iced latte - Hazelnut - 2.75,  Speciality Tea - English breakfast - 1.30",9.20,CASH,
29/09/2020 09:05,Isle of Wight,Denise Howell," Speciality Tea - Green - 1.30,  Speciality Tea - Peppermint - 1.30,  Flat white - 2.15",4.75,CASH,
29/09/2020 09:05,Isle of Wight,Ernesto Hoehn," Speciality Tea - Camomile - 1.30, Large Latte - 2.45,  Iced americano - 2.15, Large Flavoured hot chocolate - Caramel - 2.90,  Iced americano - 2.15",10.95,CARD,4451598822794565
29/09/2020 09:06,Isle of Wight,Cecile Williams,"Regular Americano - 1.95,  Frappes - Chocolate Cookie - 2.75, Large Flavoured hot chocolate - Vanilla - 2.90",7.60,CARD,6011364353544541
29/09/2020 09:06,Isle of Wight,Claude Lawrence,"Regular Hot chocolate - 2.20,  Cortado - 2.05, Regular Filter coffee - 1.50,  Glass of milk - 0.70",6.45,CARD,5471343242855461
29/09/2020 09:07,Isle of Wight,Irvin Stafford,"Regular Flavoured latte - Gingerbread - 2.55, Regular Flavoured latte - Hazelnut - 2.55,  Babyccino - 0.00, Large Flavoured hot chocolate - Hazelnut - 2.90,  Flavoured iced latte - Vanilla - 2.75",10.75,CARD,4114249598181
29/09/2020 09:07,Isle of Wight,Anna Smith, Iced americano - 2.15,2.15,CARD,348673976914866
29/09/2020 09:08,Isle of Wight,Justin Hall, Cortado - 2.05,2.05,CASH,
29/09/2020 09:08,Isle of Wight,Jason Esterly," Speciality Tea - Green - 1.30,  Speciality Tea - Camomile - 1.30",2.60,CARD,4281824581187
