
1,Isle of Wight,Ronnie True,29/09/2020 09:00,1.4
2,Isle of Wight,David Brathwaite,29/09/2020 09:00,10.0
3,Isle of Wight,Lester Levine,29/09/2020 09:01,2.3
4,Isle of Wight,Oliver Hicks,29/09/2020 09:01,5.65
5,Isle of Wight,April Allison,29/09/2020 09:02,5.7
6,Isle of Wight,Paul Krans,29/09/2020 09:02,5.2
7,Isle of Wight,Elisabeth Miller,29/09/2020 09:03,7.65
8,Isle of Wight,Wayne Dufrene,29/09/2020 09:03,5.1
9,Isle of Wight,Robert Wolfe,29/09/2020 09:04,11.5
10,Isle of Wight,Thelma Speroni,29/09/2020 09:04,9.2
11,Isle of Wight,Denise Howell,29/09/2020 09:05,4.75
12,Isle of Wight,Ernesto Hoehn,29/09/2020 09:05,10.95
13,Isle of Wight,Cecile Williams,29/09/2020 09:06,7.6
14,Isle of Wight,Claude Lawrence,29/09/2020 09:06,6.45
15,Isle of Wight,Irvin Stafford,29/09/2020 09:07,10.75
16,Isle of Wight,Anna Smith,29/09/2020 09:07,2.15
17,Isle of Wight,Justin Hall,29/09/2020 09:08,2.05
18,Isle of Wight,Jason Esterly,29/09/2020 09:08,2.6
19,Isle of Wight,Phyllis Kann,29/09/2020 09:09,2.9
20,Isle of Wight,Martha Randazzo,29/09/2020 09:09,2.05
21,Isle of Wight,Yolanda Werner,29/09/2020 09:10,4.9
22,Isle of Wight,Dawn Garrison,29/09/2020 09:10,4.85
23,Isle of Wight,Thomas Schlenz,29/09/2020 09:11,12.4
24,Isle of Wight,Jami Langston,29/09/2020 09:11,1.3
25,Isle of Wight,Wallace Grant,29/09/2020 09:12,11.1
26,Isle of Wight,Sue Bostian,29/09/2020 09:12,2.9
27,Isle of Wight,Adrienne Barney,29/09/2020 09:13,3.1
28,Isle of Wight,Marilyn Kelly,29/09/2020 09:13,3.25
29,Isle of Wight,Thomasena Schulz,29/09/2020 09:14,6.85
30,Isle of Wight,Robert Ellington,29/09/2020 09:14,5.15
31,Isle of Wight,Michael Lewis,29/09/2020 09:15,8.5
32,Isle of Wight,Dorothy Chavez,29/09/2020 09:15,1.8
33,Isle of Wight,Ralph Britt,29/09/2020 09:16,11.55
34,Isle of Wight,Nancy Moneyhun,29/09/2020 09:16,6.8
35,Isle of Wight,Rena Loeza,29/09/2020 09:17,2.75
36,Isle of Wight,David Gray,29/09/2020 09:17,8.1
37,Isle of Wight,Judy Shives,29/09/2020 09:18,6.2
38,Isle of Wight,Joy Ledesma,29/09/2020 09:18,12.15
39,Isle of Wight,Anna Whitley,29/09/2020 09:19,2.85
40,Isle of Wight,Mark Rhodes,29/09/2020 09:19,5.7
41,Isle of Wight,John Martinez,29/09/2020 09:20,2.35
42,Isle of Wight,Brenda David,29/09/2020 09:20,2.7
43,Isle of Wight,Wilton Laplante,29/09/2020 09:21,8.1
44,Isle of Wight,Margarita Tipps,29/09/2020 09:21,1.8
45,Isle of Wight,Kenneth Echavarria,29/09/2020 09:22,5.05
46,Isle of Wight,Lillie Oster,29/09/2020 09:22,2.85
47,Isle of Wight,Sandra Mclaughlin,29/09/2020 09:23,2.6
48,Isle of Wight,Thomas Parshall,29/09/2020 09:23,8.05
49,Isle of Wight,Charles Burkhardt,29/09/2020 09:24,2.6
50,Isle of Wight,Edna Scelzo,29/09/2020 09:24,4.95
51,Isle of Wight,Judith Powers,29/09/2020 09:25,8.25
52,Isle of Wight,John Knopp,29/09/2020 09:25,5.85
53,Isle of Wight,Nancy Xayasith,29/09/2020 09:26,7.45
54,Isle of Wight,Jeffrey Flora,29/09/2020 09:26,8.5
55,Isle of Wight,James Wheeler,29/09/2020 09:27,2.6
56,Isle of Wight,Julie Harris,29/09/2020 09:27,3.35
57,Isle of Wight,Mary Robinson,29/09/2020 09:28,6.35
58,Isle of Wight,Robert Blau,29/09/2020 09:28,2.85
59,Isle of Wight,Maxine Matteson,29/09/2020 09:29,7.0
60,Isle of Wight,Mary Veil,29/09/2020 09:29,9.4
61,Isle of Wight,Edna Welker,29/09/2020 09:30,4.75
62,Isle of Wight,Mary Vangieson,29/09/2020 09:30,9.9
63,Isle of Wight,Dana Duvall,29/09/2020 09:31,7.95
64,Isle of Wight,Margarita Cochran,29/09/2020 09:31,8.3
65,Isle of Wight,Edna Spear,29/09/2020 09:32,6.4
66,Isle of Wight,David Pascua,29/09/2020 09:32,2.6
67,Isle of Wight,Alex Gilmore,29/09/2020 09:33,10.4
68,Isle of Wight,Heather Torres,29/09/2020 09:33,5.55
69,Isle of Wight,Randolph Dougherty,29/09/2020 09:34,6.9
70,Isle of Wight,Duane Hoyt,29/09/2020 09:34,8.75
71,Isle of Wight,Kevin Scott,29/09/2020 09:35,9.5
72,Isle of Wight,Raul Langham,29/09/2020 09:35,11.35
73,Isle of Wight,David Howell,29/09/2020 09:36,1.3
74,Isle of Wight,Michael Capehart,29/09/2020 09:36,2.6
75,Isle of Wight,Eugene Fernandez,29/09/2020 09:37,2.6
76,Isle of Wight,Cara Challenger,29/09/2020 09:37,2.9
77,Isle of Wight,Kevin Ketchum,29/09/2020 09:38,7.0
78,Isle of Wight,Doris Levy,29/09/2020 09:38,6.7
79,Isle of Wight,Roy Forester,29/09/2020 09:39,6.45
80,Isle of Wight,Bernie Rhode,29/09/2020 09:39,10.1
81,Isle of Wight,Brandon Love,29/09/2020 09:40,2.3
82,Isle of Wight,David Weatherly,29/09/2020 09:40,7.9
83,Isle of Wight,Norma Tongate,29/09/2020 09:41,2.75
84,Isle of Wight,Erica Lang,29/09/2020 09:41,1.3
85,Isle of Wight,Ruth Foster,29/09/2020 09:42,6.45
86,Isle of Wight,John Andrews,29/09/2020 09:42,5.0
87,Isle of Wight,Lucille Michel,29/09/2020 09:43,11.8
88,Isle of Wight,Clayton Bennett,29/09/2020 09:43,2.35
89,Isle of Wight,Joshua Hamilton,29/09/2020 09:44,8.9
90,Isle of Wight,Steven Marin,29/09/2020 09:44,7.9
91,Isle of Wight,Marcia Winters,29/09/2020 09:45,9.0
92,Isle of Wight,Rene Bowden,29/09/2020 09:45,2.6
93,Isle of Wight,Jimmy Delisle,29/09/2020 09:46,9.3
94,Isle of Wight,Wilfredo Ornellas,29/09/2020 09:46,10.15
95,Isle of Wight,Gerald Bertsch,29/09/2020 09:47,3.25
96,Isle of Wight,Chong Wilkins,29/09/2020 09:47,8.75
97,Isle of Wight,Sandra Musielak,29/09/2020 09:48,7.2
98,Isle of Wight,Doris Jenkins,29/09/2020 09:48,10.85
99,Isle of Wight,Michael Liberto,29/09/2020 09:49,10.55
100,Isle of Wight,Wilma Rouse,29/09/2020 09:49,7.45
101,Isle of Wight,Jacqueline Cooke,29/09/2020 09:50,4.1
102,Isle of Wight,Terry Bon,29/09/2020 09:50,7.35
103,Isle of Wight,David Blackman,29/09/2020 09:51,2.0
104,Isle of Wight,Raquel Patenaude,29/09/2020 09:51,5.35
105,Isle of Wight,John Golston,29/09/2020 09:52,4.05
106,Isle of Wight,William Davis,29/09/2020 09:52,5.0
107,Isle of Wight,Rebecca Barone,29/09/2020 09:53,5.15
108,Isle of Wight,Jean Smith,29/09/2020 09:53,5.8
109,Isle of Wight,Burton Moses,29/09/2020 09:54,0.0
110,Isle of Wight,Camilla Lashbrook,29/09/2020 09:54,8.8
111,Isle of Wight,Robert Joyce,29/09/2020 09:55,2.75
112,Isle of Wight,Diana Heath,29/09/2020 09:55,6.75
113,Isle of Wight,Tanya Sprinkle,29/09/2020 09:56,2.55
114,Isle of Wight,Dave Smith,29/09/2020 09:56,6.05
115,Isle of Wight,Kenneth Norman,29/09/2020 09:57,11.3
116,Isle of Wight,Cary Santistevan,29/09/2020 09:57,1.3
117,Isle of Wight,Dorothy Marshall,29/09/2020 09:58,6.45
118,Isle of Wight,Douglas Mcelroy,29/09/2020 09:58,2.25
119,Isle of Wight,Donald Barnes,29/09/2020 09:59,2.15
120,Isle of Wight,Marilyn Fine,29/09/2020 09:59,4.15
121,Isle of Wight,Gregory Young,29/09/2020 10:00,5.5
122,Isle of Wight,Danielle Malone,29/09/2020 10:00,4.15
123,Isle of Wight,James Pitts,29/09/2020 10:01,7.7
124,Isle of Wight,Sharon Flores,29/09/2020 10:01,10.2
125,Isle of Wight,David Solis,29/09/2020 10:02,8.55
126,Isle of Wight,Alice Lamontagne,29/09/2020 10:02,6.0
127,Isle of Wight,Carmen Anderson,29/09/2020 10:03,1.3
128,Isle of Wight,Catherine Gilliam,29/09/2020 10:03,8.2
129,Isle of Wight,Rodger Dorsey,29/09/2020 10:04,5.55
130,Isle of Wight,Joshua Deni,29/09/2020 10:04,4.0
131,Isle of Wight,Paul Bulson,29/09/2020 10:05,5.2
132,Isle of Wight,Olivia Luna,29/09/2020 10:05,4.9
133,Isle of Wight,Frederick Fidler,29/09/2020 10:06,6.95
134,Isle of Wight,Michelle Calhoun,29/09/2020 10:06,10.55
135,Isle of Wight,Matthew Zalewski,29/09/2020 10:07,5.75
136,Isle of Wight,Shirley Galindo,29/09/2020 10:07,3.45
137,Isle of Wight,Robert Stacey,29/09/2020 10:08,4.0
138,Isle of Wight,Javier Cadorette,29/09/2020 10:08,9.15
139,Isle of Wight,Wally Holland,29/09/2020 10:09,9.25
140,Isle of Wight,Mary Philson,29/09/2020 10:09,9.6
141,Isle of Wight,Bessie Koeller,29/09/2020 10:10,4.2
142,Isle of Wight,Audrey Hayes,29/09/2020 10:10,4.9
143,Isle of Wight,Edward Brogan,29/09/2020 10:11,5.4
144,Isle of Wight,Delbert Muller,29/09/2020 10:11,2.0
145,Isle of Wight,James Perkins,29/09/2020 10:12,11.75
146,Isle of Wight,Dexter Turnbow,29/09/2020 10:12,4.05
147,Isle of Wight,Georgina Suter,29/09/2020 10:13,11.8
148,Isle of Wight,Peter Knop,29/09/2020 10:13,2.55
149,Isle of Wight,Vernon Letarte,29/09/2020 10:14,5.0
150,Isle of Wight,Sonia Zinger,29/09/2020 10:14,1.3
151,Isle of Wight,Ashley Johnson,29/09/2020 10:15,10.25
152,Isle of Wight,Sheree Horton,29/09/2020 10:15,9.15
153,Isle of Wight,Juanita Bryant,29/09/2020 10:16,1.3
154,Isle of Wight,Earle Odaniel,29/09/2020 10:16,4.1
155,Isle of Wight,Margaret Maldonado,29/09/2020 10:17,7.6
156,Isle of Wight,James Hollister,29/09/2020 10:17,2.6
157,Isle of Wight,Ronald Watson,29/09/2020 10:18,7.6
158,Isle of Wight,Anabel King,29/09/2020 10:18,8.15
159,Isle of Wight,Kelly Barnes,29/09/2020 10:19,3.4
160,Isle of Wight,Chad Oneill,29/09/2020 10:19,4.75
161,Isle of Wight,Scott Hyatt,29/09/2020 10:20,4.75
162,Isle of Wight,Albert Nixon,29/09/2020 10:20,6.85
163,Isle of Wight,Cynthia Byers,29/09/2020 10:21,2.6
164,Isle of Wight,Gail Mcguffee,29/09/2020 10:21,9.8
165,Isle of Wight,Carolyn Harris,29/09/2020 10:22,9.5
166,Isle of Wight,Margaret Parr,29/09/2020 10:22,10.25
167,Isle of Wight,Louis Stacey,29/09/2020 10:23,8.85
168,Isle of Wight,Frederick Ulcena,29/09/2020 10:23,2.15
169,Isle of Wight,Mark Crawford,29/09/2020 10:24,8.2
170,Isle of Wight,Paul Hesson,29/09/2020 10:24,2.6
171,Isle of Wight,Charles Leclair,29/09/2020 10:25,2.9
172,Isle of Wight,Marjorie Guthrie,29/09/2020 10:25,2.75
173,Isle of Wight,Dana Labarbera,29/09/2020 10:26,5.8
174,Isle of Wight,Jessica Azbill,29/09/2020 10:26,2.15
175,Isle of Wight,William Justen,29/09/2020 10:27,5.35
176,Isle of Wight,Mollie Mcgee,29/09/2020 10:27,4.2
177,Isle of Wight,Joseph Rollin,29/09/2020 10:28,2.25
178,Isle of Wight,Allyson Murphy,29/09/2020 10:28,9.9
